epoch,train_loss,val_loss,train_acc,val_acc
1,3.62369,2.891816,22.571329,45.38587
2,2.839759,2.476191,41.540811,54.365182
3,2.393206,2.0408,51.890142,66.374796
4,2.149969,1.938553,58.41504,69.267748
5,2.031927,1.858248,61.711521,71.740064
6,1.955935,1.81387,64.581226,72.572753
7,1.900262,1.789684,66.014238,73.88617
8,1.861889,1.755654,67.195232,74.693107
9,1.823608,1.742214,68.332076,75.534381
10,1.79511,1.71904,69.559059,76.418577
11,1.767182,1.710087,70.436526,76.573096
12,1.747408,1.697425,70.938724,76.67611
13,1.724622,1.69763,71.718695,76.744785
14,1.718853,1.680062,72.044296,77.543137
15,1.699318,1.674202,72.507864,77.551721
16,1.694422,1.66451,72.835305,77.740579
17,1.679718,1.665172,73.175622,77.998111
18,1.682492,1.661463,73.199536,77.860761
19,1.674188,1.659673,73.519619,78.058202
20,1.68967,1.662017,73.043174,78.083956
