epoch,train_loss,val_loss,train_acc,val_acc
1,3.627554,2.976029,23.965711,44.235557
2,2.944866,2.567058,38.720774,53.403726
3,2.318811,1.881901,53.376502,70.460984
4,2.020004,1.753702,61.991133,74.555756
5,1.889311,1.666244,66.045511,77.148253
6,1.805661,1.614225,68.617207,78.444502
7,1.734891,1.586542,70.675668,79.37162
8,1.679561,1.55529,72.294476,80.393167
9,1.645236,1.526063,73.574805,81.277363
10,1.597601,1.507785,75.044609,82.041377
11,1.585729,1.492688,75.539449,82.333247
12,1.565886,1.484532,75.955188,82.350416
13,1.534469,1.474171,76.957745,82.616534
14,1.52352,1.466201,77.456265,82.771053
15,1.505348,1.459806,78.008131,82.882651
16,1.500136,1.455754,78.232556,83.140184
17,1.492722,1.445889,78.455142,83.449223
18,1.486384,1.445941,78.624381,83.26895
19,1.490915,1.44761,78.493773,83.380548
20,1.490594,1.446392,78.501131,83.329041
