epoch,train_loss,val_loss,train_acc,val_acc
1,2.990826,2.313387,35.225621,57.180874
2,2.435848,2.184799,49.553908,60.83784
3,2.047661,1.793076,61.154136,72.675766
4,1.834466,1.701863,67.206269,75.139497
5,1.711764,1.62282,71.076691,77.766332
6,1.641529,1.58738,73.668623,79.096918
7,1.578442,1.55063,75.745479,79.81801
8,1.52412,1.524802,77.288865,80.702206
9,1.479577,1.50247,78.913191,81.191519
10,1.435028,1.49243,80.107062,81.449051
11,1.402035,1.470102,81.624694,82.015624
12,1.380247,1.460819,82.204154,82.582196
13,1.360973,1.448213,82.816725,82.693793
14,1.326936,1.435589,84.067622,83.337626
15,1.30721,1.439741,84.582697,82.985664
16,1.296508,1.427755,85.084895,83.363379
17,1.285952,1.422526,85.370026,83.586574
18,1.279343,1.420959,85.634922,83.457808
19,1.273307,1.41758,86.216221,83.766847
20,1.270114,1.417851,85.920053,83.698172
