epoch,train_loss,val_loss,train_acc,val_acc
1,4.15896,3.275058,8.835378,33.719633
2,3.557022,2.898933,20.487114,42.372736
3,2.744731,2.05686,40.278876,65.181561
4,2.33175,1.923441,52.180791,69.362177
5,2.1565,1.827512,57.399606,72.426818
6,2.05034,1.775042,60.907636,73.894755
7,1.978402,1.725347,63.40943,75.311186
8,1.913266,1.702931,65.283935,76.36707
9,1.878621,1.664173,66.987362,77.56889
10,1.831641,1.654609,68.197789,77.886514
11,1.777274,1.630986,69.658395,78.736372
12,1.758278,1.609403,70.464119,79.706413
13,1.721415,1.601146,71.499788,79.483217
14,1.717022,1.592925,72.036938,79.921023
15,1.697472,1.586086,72.592484,79.886686
16,1.675318,1.584848,73.241846,80.212894
17,1.66992,1.573645,73.280477,80.34166
18,1.663399,1.57361,73.457074,80.41892
19,1.65862,1.572853,73.756921,80.152803
20,1.661114,1.572179,73.839701,80.375998
