train_loss,val_loss,train_acc,val_acc
3.838016,3.160334,26.228362,46.338742
3.140585,2.655615,39.93304,55.112027
2.868614,2.415773,44.300142,59.241137
2.190595,1.639135,59.796545,77.19976
1.85097,1.492856,70.127481,81.517727
1.69848,1.410612,74.761318,83.784016
1.599097,1.354319,77.590552,84.91716
1.521446,1.316873,79.902872,86.093227
1.461054,1.29084,81.64309,86.179071
1.411121,1.272643,83.278453,86.573955
1.373234,1.247465,84.24054,87.380891
1.340397,1.234799,85.072019,87.561164
1.306746,1.22234,86.243814,87.724268
1.278525,1.21233,87.023785,88.067645
1.25771,1.204649,87.597726,88.033308
1.236215,1.2002,88.269164,88.256503
1.216756,1.191499,88.907489,88.144905
1.19572,1.188023,89.538456,88.333763
1.183247,1.18197,89.807031,88.471113
1.169702,1.176497,90.410405,88.642802
1.154547,1.177777,90.820625,88.453945
1.139169,1.172141,91.203252,88.728646
1.134755,1.172551,91.366973,88.642802
1.124628,1.170661,91.858134,88.7544
1.116338,1.168297,91.924358,88.917504
1.110112,1.168301,92.299627,88.67714
1.104188,1.164482,92.308824,88.831659
1.102756,1.164903,92.362171,88.539789
1.094919,1.164117,92.78159,88.720062
1.090656,1.162274,92.783429,88.977595
1.093817,1.163988,92.792627,88.59988
1.087773,1.162216,93.004176,88.805906
1.085887,1.159995,93.035448,88.805906
1.089098,1.161915,92.886444,88.762984
1.089154,1.164553,92.989459,88.797322
