,precision,recall,f1-score,support
apple_pie,0.7415730337078652,0.559322033898305,0.6376811594202898,118.0
baby_back_ribs,0.9191919191919192,0.8198198198198198,0.8666666666666667,111.0
baklava,0.8301886792452831,0.8979591836734694,0.8627450980392157,98.0
beef_carpaccio,0.8210526315789474,0.8041237113402062,0.8125,97.0
beef_tartare,0.8681318681318682,0.8494623655913979,0.8586956521739131,93.0
beet_salad,0.7596153846153846,0.8315789473684211,0.7939698492462312,95.0
beignets,0.9076923076923077,0.8872180451127819,0.8973384030418251,133.0
bibimbap,0.9375,0.9375,0.9375,32.0
bread_pudding,0.6557377049180327,0.6015037593984962,0.6274509803921569,133.0
breakfast_burrito,0.7176470588235294,0.782051282051282,0.7484662576687117,78.0
bruschetta,0.8,0.7,0.7466666666666667,120.0
cannoli,0.8646616541353384,0.9126984126984127,0.888030888030888,126.0
caprese_salad,0.8476190476190476,0.7807017543859649,0.8127853881278538,114.0
carrot_cake,0.7905405405405406,0.8731343283582089,0.8297872340425532,134.0
ceviche,0.7297297297297297,0.84375,0.782608695652174,96.0
cheese_plate,0.8227848101265823,0.9090909090909091,0.8637873754152824,143.0
cheesecake,0.7946428571428571,0.6357142857142857,0.7063492063492064,140.0
chicken_curry,0.7872340425531915,0.7956989247311828,0.7914438502673797,93.0
chicken_quesadilla,0.875,0.84,0.8571428571428571,75.0
chicken_wings,0.8209876543209876,0.9366197183098591,0.875,142.0
chocolate_cake,0.7083333333333334,0.625,0.6640625,136.0
chocolate_mousse,0.5581395348837209,0.5538461538461539,0.555984555984556,130.0
churros,0.9338842975206612,0.889763779527559,0.9112903225806451,127.0
clam_chowder,0.8814814814814815,0.8814814814814815,0.8814814814814815,135.0
club_sandwich,0.8515625,0.8861788617886179,0.8685258964143426,123.0
crab_cakes,0.826530612244898,0.680672268907563,0.7465437788018433,119.0
creme_brulee,0.8623188405797102,0.9224806201550387,0.8913857677902621,129.0
croque_madame,0.9090909090909091,0.8888888888888888,0.898876404494382,90.0
cup_cakes,0.847682119205298,0.8767123287671232,0.8619528619528619,146.0
deviled_eggs,0.9069767441860465,0.9435483870967742,0.924901185770751,124.0
donuts,0.8636363636363636,0.8321167883211679,0.8475836431226765,137.0
dumplings,0.9083969465648855,0.8814814814814815,0.8947368421052632,135.0
edamame,0.9925373134328358,0.9851851851851852,0.9888475836431226,135.0
eggs_benedict,0.9022556390977443,0.9022556390977443,0.9022556390977443,133.0
escargots,0.9454545454545454,0.9454545454545454,0.9454545454545454,55.0
falafel,0.8666666666666667,0.8125,0.8387096774193549,80.0
filet_mignon,0.6888888888888889,0.6526315789473685,0.6702702702702703,95.0
fish_and_chips,0.8602941176470589,0.8478260869565217,0.8540145985401459,138.0
foie_gras,0.573170731707317,0.7121212121212122,0.6351351351351351,66.0
french_fries,0.864516129032258,0.9178082191780822,0.8903654485049833,146.0
french_onion_soup,0.8796992481203008,0.8357142857142857,0.8571428571428571,140.0
french_toast,0.7687074829931972,0.795774647887324,0.7820069204152249,142.0
fried_calamari,0.8375,0.8481012658227848,0.8427672955974843,79.0
fried_rice,0.875968992248062,0.889763779527559,0.8828125,127.0
frozen_yogurt,0.7762237762237763,0.925,0.844106463878327,120.0
garlic_bread,0.782258064516129,0.782258064516129,0.782258064516129,124.0
gnocchi,0.8275862068965517,0.782608695652174,0.8044692737430168,92.0
greek_salad,0.8604651162790697,0.8951612903225806,0.8774703557312253,124.0
grilled_cheese_sandwich,0.7251908396946565,0.753968253968254,0.7392996108949417,126.0
grilled_salmon,0.7542372881355932,0.7739130434782608,0.7639484978540773,115.0
guacamole,0.8796992481203008,0.8796992481203008,0.8796992481203008,133.0
gyoza,0.8557692307692307,0.8811881188118812,0.8682926829268293,101.0
hamburger,0.945054945054945,0.8037383177570093,0.8686868686868687,107.0
hot_and_sour_soup,0.9051094890510949,0.9185185185185185,0.9117647058823529,135.0
hot_dog,0.8435374149659864,0.8732394366197183,0.8581314878892734,142.0
huevos_rancheros,0.7954545454545454,0.5833333333333334,0.6730769230769231,60.0
hummus,0.8137254901960784,0.7980769230769231,0.8058252427184466,104.0
ice_cream,0.75,0.7021276595744681,0.7252747252747253,141.0
lasagna,0.7666666666666667,0.7666666666666667,0.7666666666666667,120.0
lobster_bisque,0.8322147651006712,0.9253731343283582,0.8763250883392226,134.0
lobster_roll_sandwich,0.9215686274509803,0.8173913043478261,0.8663594470046083,115.0
macaroni_and_cheese,0.8604651162790697,0.8809523809523809,0.8705882352941177,126.0
macarons,0.9391891891891891,0.9455782312925171,0.9423728813559322,147.0
miso_soup,0.8933333333333333,0.9710144927536232,0.9305555555555556,138.0
mussels,0.9,0.9642857142857143,0.9310344827586207,140.0
nachos,0.8373983739837398,0.7573529411764706,0.7953667953667953,136.0
omelette,0.7946428571428571,0.7478991596638656,0.7705627705627706,119.0
onion_rings,0.9142857142857143,0.920863309352518,0.9175627240143369,139.0
oysters,0.9857142857142858,0.9583333333333334,0.971830985915493,144.0
pad_thai,0.8738738738738738,0.97,0.919431279620853,100.0
paella,0.8455284552845529,0.8888888888888888,0.8666666666666667,117.0
pancakes,0.8666666666666667,0.8357142857142857,0.850909090909091,140.0
panna_cotta,0.6379310344827587,0.8951612903225806,0.7449664429530202,124.0
peking_duck,0.9178082191780822,0.9054054054054054,0.9115646258503401,74.0
pho,0.8888888888888888,0.9696969696969697,0.927536231884058,132.0
pizza,0.8733333333333333,0.8972602739726028,0.8851351351351351,146.0
pork_chop,0.528,0.6055045871559633,0.5641025641025641,109.0
poutine,0.905982905982906,0.8833333333333333,0.8945147679324894,120.0
prime_rib,0.9306930693069307,0.8703703703703703,0.8995215311004785,108.0
pulled_pork_sandwich,0.9285714285714286,0.7738095238095238,0.8441558441558441,84.0
ramen,0.8703703703703703,0.8545454545454545,0.8623853211009175,110.0
ravioli,0.7402597402597403,0.6263736263736264,0.6785714285714286,91.0
red_velvet_cake,0.9363636363636364,0.7803030303030303,0.8512396694214877,132.0
risotto,0.762962962962963,0.7573529411764706,0.7601476014760148,136.0
samosa,0.944954128440367,0.8956521739130435,0.9196428571428571,115.0
sashimi,0.9107142857142857,0.864406779661017,0.8869565217391304,118.0
scallops,0.8095238095238095,0.7157894736842105,0.7597765363128491,95.0
seaweed_salad,0.917910447761194,0.924812030075188,0.9213483146067416,133.0
shrimp_and_grits,0.7684210526315789,0.7684210526315789,0.7684210526315789,95.0
spaghetti_bolognese,0.8642857142857143,0.9758064516129032,0.9166666666666666,124.0
spaghetti_carbonara,0.9007633587786259,0.9672131147540983,0.932806324110672,122.0
spring_rolls,0.8561151079136691,0.875,0.8654545454545455,136.0
steak,0.5371900826446281,0.5508474576271186,0.5439330543933054,118.0
strawberry_shortcake,0.8305084745762712,0.8235294117647058,0.8270042194092827,119.0
sushi,0.8181818181818182,0.841726618705036,0.8297872340425532,139.0
tacos,0.7983870967741935,0.7388059701492538,0.7674418604651163,134.0
takoyaki,0.9523809523809523,0.7692307692307693,0.851063829787234,26.0
tiramisu,0.7868852459016393,0.8571428571428571,0.8205128205128205,112.0
tuna_tartare,0.7674418604651163,0.8461538461538461,0.8048780487804879,78.0
waffles,0.8923076923076924,0.8169014084507042,0.8529411764705882,142.0
accuracy,0.8332904111940939,0.8332904111940939,0.8332904111940939,0.8332904111940939
macro avg,0.8342822066040175,0.8295895593622514,0.830047369874982,11649.0
weighted avg,0.8352269933209099,0.8332904111940939,0.8325314680238184,11649.0
