image,label,label_id
data\raw\food-101\images\filet_mignon\415051.jpg,filet_mignon,36
data\raw\food-101\images\carrot_cake\652435.jpg,carrot_cake,13
data\raw\food-101\images\red_velvet_cake\1078478.jpg,red_velvet_cake,82
data\raw\food-101\images\huevos_rancheros\706067.jpg,huevos_rancheros,55
data\raw\food-101\images\dumplings\3191742.jpg,dumplings,31
data\raw\food-101\images\seaweed_salad\2173456.jpg,seaweed_salad,87
data\raw\food-101\images\chocolate_mousse\1051638.jpg,chocolate_mousse,21
data\raw\food-101\images\dumplings\3339824.jpg,dumplings,31
data\raw\food-101\images\seaweed_salad\2421239.jpg,seaweed_salad,87
data\raw\food-101\images\guacamole\300528.jpg,guacamole,50
data\raw\food-101\images\clam_chowder\3291238.jpg,clam_chowder,23
data\raw\food-101\images\chicken_wings\295725.jpg,chicken_wings,19
data\raw\food-101\images\spring_rolls\3307458.jpg,spring_rolls,91
data\raw\food-101\images\sashimi\2921210.jpg,sashimi,85
data\raw\food-101\images\steak\429304.jpg,steak,92
data\raw\food-101\images\lobster_bisque\1439107.jpg,lobster_bisque,59
data\raw\food-101\images\cup_cakes\564374.jpg,cup_cakes,28
data\raw\food-101\images\shrimp_and_grits\3195523.jpg,shrimp_and_grits,88
data\raw\food-101\images\oysters\2666582.jpg,oysters,68
data\raw\food-101\images\beet_salad\655107.jpg,beet_salad,5
data\raw\food-101\images\bibimbap\1330778.jpg,bibimbap,7
data\raw\food-101\images\grilled_salmon\1954959.jpg,grilled_salmon,49
data\raw\food-101\images\ice_cream\281269.jpg,ice_cream,57
data\raw\food-101\images\huevos_rancheros\1032532.jpg,huevos_rancheros,55
data\raw\food-101\images\ice_cream\404313.jpg,ice_cream,57
data\raw\food-101\images\crab_cakes\33540.jpg,crab_cakes,25
data\raw\food-101\images\chocolate_cake\2114016.jpg,chocolate_cake,20
data\raw\food-101\images\macarons\630782.jpg,macarons,62
data\raw\food-101\images\oysters\333837.jpg,oysters,68
data\raw\food-101\images\apple_pie\1074856.jpg,apple_pie,0
data\raw\food-101\images\beignets\2609845.jpg,beignets,6
data\raw\food-101\images\sashimi\1934618.jpg,sashimi,85
data\raw\food-101\images\tacos\907061.jpg,tacos,95
data\raw\food-101\images\apple_pie\2202694.jpg,apple_pie,0
data\raw\food-101\images\falafel\279158.jpg,falafel,35
data\raw\food-101\images\lobster_bisque\3868773.jpg,lobster_bisque,59
data\raw\food-101\images\hamburger\2241307.jpg,hamburger,52
data\raw\food-101\images\clam_chowder\2027476.jpg,clam_chowder,23
data\raw\food-101\images\pancakes\45113.jpg,pancakes,71
data\raw\food-101\images\beef_tartare\1127533.jpg,beef_tartare,4
data\raw\food-101\images\miso_soup\3661732.jpg,miso_soup,63
data\raw\food-101\images\hot_dog\2984693.jpg,hot_dog,54
data\raw\food-101\images\french_fries\839871.jpg,french_fries,39
data\raw\food-101\images\carrot_cake\3303991.jpg,carrot_cake,13
data\raw\food-101\images\grilled_salmon\234995.jpg,grilled_salmon,49
data\raw\food-101\images\cheesecake\3014021.jpg,cheesecake,16
data\raw\food-101\images\poutine\2483219.jpg,poutine,77
data\raw\food-101\images\grilled_cheese_sandwich\49510.jpg,grilled_cheese_sandwich,48
data\raw\food-101\images\cheesecake\496038.jpg,cheesecake,16
